"Date","Price","Open","High","Low","Vol.","Change %"
"19-03-2021","32.95","31.75","33.75","31.15","3.26M","1.85%"
"18-03-2021","32.35","34.80","34.90","31.30","3.37M","-4.57%"
"17-03-2021","33.90","35.95","36.40","33.50","3.08M","-5.17%"
"16-03-2021","35.75","38.10","38.60","35.20","3.37M","-5.17%"
"15-03-2021","37.70","40.00","40.70","36.85","5.14M","-5.04%"
"12-03-2021","39.70","41.00","42.75","37.10","14.44M","1.40%"
"10-03-2021","39.15","36.90","39.15","36.35","6.80M","9.97%"
"09-03-2021","35.60","32.75","35.60","32.70","8.97M","9.88%"
"08-03-2021","32.40","33.00","34.05","32.00","3.00M","-0.46%"
"05-03-2021","32.55","32.70","33.15","31.80","2.19M","1.09%"
"04-03-2021","32.20","30.60","33.35","30.60","2.79M","1.58%"
"03-03-2021","31.70","32.80","33.10","31.55","2.37M","-2.16%"
"02-03-2021","32.40","33.20","33.95","31.80","3.59M","-1.37%"
"01-03-2021","32.85","31.60","33.90","30.75","6.97M","6.48%"
"26-02-2021","30.85","30.70","31.75","30.10","2.28M","-2.22%"
"25-02-2021","31.55","31.95","32.00","31.15","1.66M","-0.47%"
"24-02-2021","31.70","32.00","32.20","30.50","774.85K","-1.09%"
"23-02-2021","32.05","32.25","32.90","31.50","2.85M","1.26%"
"22-02-2021","31.65","30.90","33.35","29.90","3.92M","3.09%"
"19-02-2021","30.70","30.80","31.25","29.75","2.76M","0.16%"
"18-02-2021","30.65","31.60","31.85","30.00","1.95M","-3.62%"
"17-02-2021","31.80","31.80","32.15","31.35","1.32M","-0.47%"
"16-02-2021","31.95","32.80","32.80","31.30","1.67M","-1.39%"
"15-02-2021","32.40","33.00","33.15","31.80","1.98M","-1.52%"
"12-02-2021","32.90","32.00","33.40","31.35","3.06M","3.30%"
"11-02-2021","31.85","31.20","32.50","31.10","2.10M","1.76%"
"10-02-2021","31.30","32.00","32.20","30.80","2.60M","-3.54%"
"09-02-2021","32.45","33.25","33.60","31.85","1.71M","-1.07%"
"08-02-2021","32.80","33.75","34.80","32.50","2.96M","-1.65%"
"05-02-2021","33.35","33.90","34.10","31.60","5.90M","2.46%"
"04-02-2021","32.55","31.75","32.55","31.20","3.30M","5.00%"
"03-02-2021","31.00","29.85","31.00","29.50","2.49M","4.91%"
"02-02-2021","29.55","28.70","29.60","28.10","2.65M","4.79%"
"01-02-2021","28.20","27.95","29.05","27.20","3.81M","1.81%"
"29-01-2021","27.70","29.10","29.70","27.50","3.06M","-4.15%"
"28-01-2021","28.90","29.75","29.75","28.55","1.89M","-3.51%"
"27-01-2021","29.95","30.30","30.40","29.30","1.46M","-1.32%"
"25-01-2021","30.35","30.05","31.10","29.60","1.65M","0.00%"
"22-01-2021","30.35","31.00","31.20","29.80","1.79M","-1.62%"
"21-01-2021","30.85","30.20","31.60","30.10","4.28M","2.49%"
"20-01-2021","30.10","30.40","30.50","29.80","2.05M","-1.95%"
"19-01-2021","30.70","30.70","31.25","29.30","2.47M","1.15%"
"18-01-2021","30.35","31.80","31.95","30.10","1.53M","-3.50%"
"15-01-2021","31.45","31.50","32.05","30.25","1.99M","0.00%"
"14-01-2021","31.45","31.60","32.45","31.30","1.43M","-0.16%"
"13-01-2021","31.50","32.40","33.00","31.30","6.03M","-2.63%"
"12-01-2021","32.35","31.55","32.40","30.05","7.16M","4.69%"
"11-01-2021","30.90","30.50","30.90","29.60","7.61M","4.92%"
"08-01-2021","29.45","28.70","29.85","28.50","3.41M","3.33%"
"07-01-2021","28.50","29.25","29.95","28.25","3.41M","-3.88%"
"06-01-2021","29.65","30.30","30.65","29.15","5.07M","-2.15%"
"05-01-2021","30.30","28.90","30.30","28.30","6.50M","4.84%"
"04-01-2021","28.90","28.75","28.90","28.10","4.36M","4.90%"
"01-01-2021","27.55","27.20","28.15","26.95","3.08M","2.61%"
"31-12-2020","26.85","27.05","27.60","26.55","1.27M","-2.19%"
"30-12-2020","27.45","26.85","28.15","26.15","2.82M","2.23%"
"29-12-2020","26.85","27.70","28.15","26.50","2.33M","-3.59%"
"28-12-2020","27.85","26.85","28.05","25.85","4.06M","4.11%"
"24-12-2020","26.75","26.75","26.75","26.00","3.63M","4.90%"
"23-12-2020","25.50","24.90","25.50","24.65","1.36M","4.94%"
"22-12-2020","24.30","24.50","25.00","23.75","2.98M","-2.80%"
"21-12-2020","25.00","26.20","26.65","25.00","2.23M","-4.94%"
"18-12-2020","26.30","26.70","27.75","25.80","4.15M","-2.95%"
"17-12-2020","27.10","28.35","28.35","27.05","2.53M","-4.58%"
"16-12-2020","28.40","27.70","29.50","27.65","4.61M","-0.87%"
